vertices	group	num
astro-poty	Known	10
birna-permutotetra	Known	10
bunya-arena	Known	10
cysto	Known	10
flavi	Known	10
hepe-virga	Known	10
hypo	Known	10
luteo-sobemo	Known	10
mono-chu	Known	10
na-daxi	Known	10
narna-levi	Known	10
nido	Known	10
orthomyxo	Known	10
partiti-picobirna	Known	10
picorna	Known	10
qinvirus	Known	10
reo	Known	10
tombus-noda	Known	10
toti	Known	10
weivirus	Known	10
yanvirus	Known	10
yuevirus	Known	10
zhaovirus	Known	10
Clstr001	Cluster	10
Clstr002	Cluster	10
Clstr003	Cluster	10
Clstr004	Cluster	10
Clstr005	Cluster	10
Clstr006	Cluster	10
Clstr007	Cluster	10
Clstr008	Cluster	10
Clstr009	Cluster	10
Clstr010	Cluster	10
Clstr011	Cluster	10
Clstr012	Cluster	10
Clstr013	Cluster	10
Clstr014	Cluster	10
Clstr015	Cluster	10
Clstr016	Cluster	10
Clstr017	Cluster	10
Clstr018	Cluster	10
Clstr019	Cluster	10
Clstr020	Cluster	10
Clstr021	Cluster	10
Clstr022	Cluster	10
Clstr023	Cluster	10
Clstr024	Cluster	10
Clstr025	Cluster	10
Clstr026	Cluster	10
Clstr027	Cluster	10
Clstr028	Cluster	10
Clstr029	Cluster	10
Clstr030	Cluster	10
Clstr031	Cluster	10
Clstr032	Cluster	10
Clstr033	Cluster	10
Clstr034	Cluster	10
Clstr035	Cluster	10
Clstr036	Cluster	10
Clstr037	Cluster	10
Clstr038	Cluster	10
Clstr039	Cluster	10
Clstr040	Cluster	10
Clstr041	Cluster	10
Clstr042	Cluster	10
Clstr043	Cluster	10
Clstr044	Cluster	10
Clstr045	Cluster	10
Clstr046	Cluster	10
Clstr047	Cluster	10
Clstr048	Cluster	10
Clstr049	Cluster	10
Clstr050	Cluster	10
Clstr051	Cluster	10
Clstr052	Cluster	10
Clstr053	Cluster	10
Clstr054	Cluster	10
Clstr055	Cluster	10
Clstr056	Cluster	10
Clstr057	Cluster	10
Clstr058	Cluster	10
Clstr059	Cluster	10
Clstr060	Cluster	10
Clstr061	Cluster	10
Clstr062	Cluster	10
Clstr063	Cluster	10
Clstr064	Cluster	10
Clstr065	Cluster	10
Clstr066	Cluster	10
Clstr067	Cluster	10
Clstr068	Cluster	10
Clstr069	Cluster	10
Clstr070	Cluster	10
Clstr071	Cluster	10
Clstr072	Cluster	10
Clstr073	Cluster	10
Clstr074	Cluster	10
Clstr075	Cluster	10
Clstr076	Cluster	10
Clstr077	Cluster	10
Clstr078	Cluster	10
Clstr079	Cluster	10
Clstr080	Cluster	10
Clstr081	Cluster	10
Clstr082	Cluster	10
Clstr083	Cluster	10
Clstr084	Cluster	10
Clstr085	Cluster	10
Clstr086	Cluster	10
Clstr087	Cluster	10
Clstr088	Cluster	10
Clstr089	Cluster	10
Clstr090	Cluster	10
Clstr091	Cluster	10
Clstr092	Cluster	10
Clstr093	Cluster	10
Clstr094	Cluster	10
Clstr095	Cluster	10
Clstr096	Cluster	10
Clstr097	Cluster	10
Clstr098	Cluster	10
Clstr099	Cluster	10
Clstr100	Cluster	10
Clstr101	Cluster	10
Clstr102	Cluster	10
Clstr103	Cluster	10
Clstr104	Cluster	10
Clstr105	Cluster	10
Clstr106	Cluster	10
Clstr107	Cluster	10
Clstr108	Cluster	10
Clstr109	Cluster	10
Clstr110	Cluster	10
Clstr111	Cluster	10
Clstr112	Cluster	10
Clstr113	Cluster	10
Clstr114	Cluster	10
Clstr115	Cluster	10
Clstr116	Cluster	10
Clstr117	Cluster	10
Clstr118	Cluster	10
Clstr119	Cluster	10
Clstr120	Cluster	10
Clstr121	Cluster	10
