Metagenome	Run	Habitat
Activated_sludge	DRR110568	Soil
Activated_sludge	DRR110569	Soil
Activated_sludge	DRR110570	Soil
Activated_sludge	DRR110571	Soil
Activated_sludge	DRR110572	Soil
Activated_sludge	DRR110573	Soil
Activated_sludge	SRR1027973	Soil
Activated_sludge	SRR1027974	Soil
Activated_sludge	SRR1027975	Soil
Activated_sludge	SRR1027976	Soil
Activated_sludge	SRR1027977	Soil
Activated_sludge	SRR1027978	Soil
Activated_sludge	SRR10402494	Soil
Activated_sludge	SRR10502071	Soil
Activated_sludge	SRR10502072	Soil
Activated_sludge	SRR10522288	Soil
Activated_sludge	SRR10522289	Soil
Activated_sludge	SRR10522290	Soil
Activated_sludge	SRR10522291	Soil
Activated_sludge	SRR10522296	Soil
Activated_sludge	SRR10522297	Soil
Activated_sludge	SRR10522298	Soil
Activated_sludge	SRR10522299	Soil
Activated_sludge	SRR10522300	Soil
Activated_sludge	SRR10522301	Soil
Activated_sludge	SRR10522302	Soil
Activated_sludge	SRR10914227	Soil
Activated_sludge	SRR10914230	Soil
Activated_sludge	SRR10914231	Soil
Activated_sludge	SRR10914232	Soil
Activated_sludge	SRR10914233	Soil
Activated_sludge	SRR10914238	Soil
Activated_sludge	SRR10914239	Soil
Activated_sludge	SRR10914240	Soil
Activated_sludge	SRR10914241	Soil
Activated_sludge	SRR10914242	Soil
Activated_sludge	SRR1763386	Soil
Activated_sludge	SRR1763387	Soil
Activated_sludge	SRR1763388	Soil
Activated_sludge	SRR1763389	Soil
Activated_sludge	SRR2125760	Soil
Activated_sludge	SRR2125784	Soil
Activated_sludge	SRR2125785	Soil
Activated_sludge	SRR3501863	Soil
Activated_sludge	SRR3501864	Soil
Activated_sludge	SRR3501865	Soil
Activated_sludge	SRR3501866	Soil
Activated_sludge	SRR3501867	Soil
Activated_sludge	SRR3501868	Soil
Activated_sludge	SRR3501869	Soil
Activated_sludge	SRR3501870	Soil
Activated_sludge	SRR3501871	Soil
Activated_sludge	SRR3501872	Soil
Activated_sludge	SRR3883943	Soil
Activated_sludge	SRR3884125	Soil
Activated_sludge	SRR3884267	Soil
Activated_sludge	SRR3884282	Soil
Activated_sludge	SRR3884321	Soil
Activated_sludge	SRR3884349	Soil
Activated_sludge	SRR3884358	Soil
Activated_sludge	SRR3884394	Soil
Activated_sludge	SRR3884420	Soil
Activated_sludge	SRR3884473	Soil
Activated_sludge	SRR3884478	Soil
Activated_sludge	SRR3884480	Soil
Activated_sludge	SRR3884485	Soil
Activated_sludge	SRR3884487	Soil
Activated_sludge	SRR3884490	Soil
Activated_sludge	SRR3884778	Soil
Activated_sludge	SRR3884779	Soil
Activated_sludge	SRR3884780	Soil
Activated_sludge	SRR3884783	Soil
Activated_sludge	SRR3884784	Soil
Activated_sludge	SRR3884785	Soil
Activated_sludge	SRR3884788	Soil
Activated_sludge	SRR3884789	Soil
Activated_sludge	SRR3884790	Soil
Activated_sludge	SRR3884792	Soil
Activated_sludge	SRR3884794	Soil
Activated_sludge	SRR3884797	Soil
Activated_sludge	SRR3884805	Soil
Activated_sludge	SRR3884807	Soil
Activated_sludge	SRR5208570	Soil
Activated_sludge	SRR5208572	Soil
Activated_sludge	SRR5208573	Soil
Activated_sludge	SRR5208574	Soil
Activated_sludge	SRR5208575	Soil
Activated_sludge	SRR5466337	Soil
Activated_sludge	SRR5466338	Soil
Activated_sludge	SRR5466364	Soil
Activated_sludge	SRR5466365	Soil
Activated_sludge	SRR5466366	Soil
Activated_sludge	SRR5466369	Soil
Activated_sludge	SRR5466399	Soil
Activated_sludge	SRR5466723	Soil
Activated_sludge	SRR5466725	Soil
Activated_sludge	SRR5466727	Soil
Activated_sludge	SRR5466728	Soil
Activated_sludge	SRR5466729	Soil
Activated_sludge	SRR5467090	Soil
Activated_sludge	SRR5467091	Soil
Activated_sludge	SRR5467137	Soil
Activated_sludge	SRR5467139	Soil
Activated_sludge	SRR5467140	Soil
Activated_sludge	SRR6032600	Soil
Activated_sludge	SRR6032604	Soil
Activated_sludge	SRR6032605	Soil
Activated_sludge	SRR6049586	Soil
Activated_sludge	SRR6050482	Soil
Activated_sludge	SRR6050483	Soil
Activated_sludge	SRR6050528	Soil
Activated_sludge	SRR6050643	Soil
Activated_sludge	SRR6050698	Soil
Activated_sludge	SRR6050716	Soil
Activated_sludge	SRR6050738	Soil
Activated_sludge	SRR6253161	Soil
Activated_sludge	SRR6253256	Soil
Activated_sludge	SRR6253579	Soil
Activated_sludge	SRR6254351	Soil
Activated_sludge	SRR6254352	Soil
Activated_sludge	SRR6254353	Soil
Activated_sludge	SRR6254893	Soil
Activated_sludge	SRR6254984	Soil
Activated_sludge	SRR6255402	Soil
Activated_sludge	SRR6255513	Soil
Activated_sludge	SRR6255520	Soil
Activated_sludge	SRR6255521	Soil
Activated_sludge	SRR6255522	Soil
Activated_sludge	SRR6255733	Soil
Activated_sludge	SRR6255746	Soil
Activated_sludge	SRR6960507	Soil
Activated_sludge	SRR6960509	Soil
Activated_sludge	SRR6960540	Soil
Activated_sludge	SRR6960549	Soil
Activated_sludge	SRR6960550	Soil
Activated_sludge	SRR6960551	Soil
Activated_sludge	SRR6960797	Soil
Activated_sludge	SRR6960799	Soil
Activated_sludge	SRR6960800	Soil
Activated_sludge	SRR6960801	Soil
Activated_sludge	SRR6960802	Soil
Activated_sludge	SRR6960803	Soil
Activated_sludge	SRR6977037	Soil
Activated_sludge	SRR6977038	Soil
Activated_sludge	SRR6977039	Soil
Activated_sludge	SRR6977040	Soil
Activated_sludge	SRR6977041	Soil
Activated_sludge	SRR6977042	Soil
Activated_sludge	SRR7110443	Soil
Activated_sludge	SRR7110444	Soil
Activated_sludge	SRR7110445	Soil
Activated_sludge	SRR7110446	Soil
Activated_sludge	SRR7110447	Soil
Activated_sludge	SRR7110448	Soil
Activated_sludge	SRR7110449	Soil
Activated_sludge	SRR7110450	Soil
Activated_sludge	SRR7473382	Soil
Activated_sludge	SRR7976295	Soil
Activated_sludge	SRR7976299	Soil
Activated_sludge	SRR7976300	Soil
Activated_sludge	SRR7976301	Soil
Activated_sludge	SRR7976310	Soil
Activated_sludge	SRR7976323	Soil
Activated_sludge	SRR7976324	Soil
Activated_sludge	SRR7976325	Soil
Activated_sludge	SRR7976326	Soil
Activated_sludge	SRR7976327	Soil
Activated_sludge	SRR7976356	Soil
Activated_sludge	SRR7976357	Soil
Activated_sludge	SRR8554102	Soil
Activated_sludge	SRR8554104	Soil
Activated_sludge	SRR8554105	Soil
Activated_sludge	SRR8554343	Soil
Activated_sludge	SRR8554344	Soil
Activated_sludge	SRR8554345	Soil
Activated_sludge	SRR8554346	Soil
Activated_sludge	SRR8554347	Soil
Activated_sludge	SRR8554348	Soil
Activated_sludge	SRR8554349	Soil
Activated_sludge	SRR8554350	Soil
Activated_sludge	SRR8554351	Soil
Activated_sludge	SRR8554352	Soil
Activated_sludge	SRR8554353	Soil
