SRA_Run,biosample,geo_loc_name,marine_region,geographic_location(region_and_locality),lat_lon,geographic_location(latitude),geographic_location(longitude),geographic_location(depth),latitude_start,latitude_end,longitude_start,longitude_end,submission
SRR11362474,SAMN14419043,,,South Korea: Seoul,37.505580 N 126.955897 E,,,,,,,,"Chung-Ang Univiersity, ByungHee Chun; 2020-03-20"
SRR3589012,SRS1462003,,,Sweden: Coastal Baltic Sea sediment,57.89297088 N 16.58553428 E,,,,,,,,"Linnaeus University, Elias Broman; 2016-05-23"
SRR5252953,SAMN05384413,,,"Germany: Schloeppnerbrunnen fen II, Fichtel Mountains, northeastern Bavaria",50.131881 N 11.881046 E,,,,,,,,"University of Vienna, Bela Hausmann; 2016-07-13"
SRR5196748,SAMN06250062,,,Germany: giessen,50.32 N 8.413 E,,,,,,,,"Max Planck Institute for Terrestrial Microbiology, Qicheng Bei; 2017-01-23"
SRR6399541,SRS2776507,,,"USA:california,San Diego",33.74226913 N 116.4074047 W,,,,,,,,"Stanford University, Chao Jiang; 2017-12-20"
SRR7540203,SAMN09201381,,,USA: Massachusetts,42.481016 N 72.178343 W,,,,,,,,JGI; 2018-05-11
ERR1719223,ERS491394,,"(search radius=5 degrees) Marine Ecoregion:Central Chile (MRGID:22007), Marine Ecoregion:Araucanian (MRGID:22009)",,"(latituden=-33.6895, longitudee=-71.998)",,,,-33.6895,-33.6703,-71.998,-71.9535,EBI; 2016-11-11
SRR11826708,SRS6691810,,,USA: Colorado,38.9206 N 106.9489 W,,,,,,,,JGI; 2020-04-01
ERR1712026,ERS489312,,"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Chagos (MRGID:21836)",,"(latituden=-2.0465, longitudee=72.1568)",,,,-2.0465,-2.0389,72.1568,72.1687,EBI; 2016-10-29
SRR10748758,SAMN13639902,,,"Pacific Ocean: North Pacific Gyre, Station ALOHA",26.48467 N 158.48617 W,,,,,,,,"University of Hawaii, John Eppley; 2019-12-19"
SRR10312744,GSM4131188,,,,,,,,,,,,"Dome, Dome Adoonsook; 2019-10-18"
SRR6048340,SAMN07632851,,,USA: Iowa,42.0266187 N 93.6486594 W,,,,,,,,JGI; 2017-09-11
SRR9971574,SRS5271427,,,Chile: Atacama Desert,20.953335 S 70.019611 W,,,,,,,,"Johns Hopkins, Gherman Uritskiy; 2019-08-13"
SRR2134255,SRS1016624,,,Saudi Arabia: Red Sea,24.43 N 36.16 E,,,,,,,,"King Abdullah University of Science and Technology, Mohamed Fauzi Haroon; 2015-07-29"
