sra,name,lat,lon,type
DRR088295,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR088296,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR088297,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR088298,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR088299,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR088300,"Japan:Gunma, Kusatsu",36.6207181,138.5960945,manual_by_loc_name
DRR089003,China,35.86166,104.195397,manual_by_loc_name
DRR089004,China,35.86166,104.195397,manual_by_loc_name
DRR110568,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR110569,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR110570,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR110571,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR110572,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR110573,"Japan:Ibaraki, Tsukuba",36.0835255,140.0764454,manual_by_loc_name
DRR128272,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR128274,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR128276,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR128278,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR169098,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR169099,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR190454,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR190455,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR190456,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR190457,Pacific Ocean,-8.783195,-124.508523,manual_by_loc_name
DRR218316,subtropical western North Pacific,-8.783195,-124.508523,manual_by_loc_name
ERR1074143,France,46.227638,2.213749,manual_by_loc_name
ERR1074144,France,46.227638,2.213749,manual_by_loc_name
ERR1074145,France,46.227638,2.213749,manual_by_loc_name
ERR1074146,France,46.227638,2.213749,manual_by_loc_name
ERR1078715,France,46.227638,2.213749,manual_by_loc_name
ERR1078716,France,46.227638,2.213749,manual_by_loc_name
ERR1078717,France,46.227638,2.213749,manual_by_loc_name
ERR1078718,France,46.227638,2.213749,manual_by_loc_name
ERR1078719,France,46.227638,2.213749,manual_by_loc_name
ERR1078720,France,46.227638,2.213749,manual_by_loc_name
ERR1078721,France,46.227638,2.213749,manual_by_loc_name
ERR1104479,France,46.227638,2.213749,manual_by_loc_name
ERR1328122,,36.1715,-29.023,ori
ERR1328125,,36.1715,-29.023,ori
ERR3322219,Sweden,56.93085,17.060666666666666,ori
ERR3322220,Sweden,56.93085,17.060666666666666,ori
ERR3322225,Sweden,56.93085,17.060666666666666,ori
ERR3322226,Sweden,56.93085,17.060666666666666,ori
ERR3322230,Sweden,56.93085,17.060666666666666,ori
ERR3322231,Sweden,56.93085,17.060666666666666,ori
ERR3322232,Sweden,56.93085,17.060666666666666,ori
ERR3322236,Sweden,56.93085,17.060666666666666,ori
ERR3322242,Sweden,56.93085,17.060666666666666,ori
ERR3322243,Sweden,56.93085,17.060666666666666,ori
ERR3322244,Sweden,56.93085,17.060666666666666,ori
