sra,url,biosample
SRR6122732,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6122732&display=metadata,SAMN07746103 (SRS2570889)
SRR985023,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985023&display=metadata,SAMN02354015 (SRS498495)
SRR6233349,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6233349&display=metadata,SAMN07631402 (SRS2522914)
ERR3010907,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3010907&display=metadata,SAMEA5185543 (ERS2993043)
SRR2910857,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910857&display=metadata,SAMN04225639 (SRS1155331)
SRR8837367,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837367&display=metadata,SAMN11289608 (SRS4570709)
ERR3322272,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322272&display=metadata,SAMEA5564709 (ERS3366737)
SRR5428644,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428644&display=metadata,SAMN06266374 (SRS2109288)
SRR5428655,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428655&display=metadata,SAMN06266374 (SRS2109288)
SRR125608,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125608&display=metadata,SAMN00100721 (SRS105347)
ERR3322276,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322276&display=metadata,SAMEA5564709 (ERS3366737)
ERR3322250,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322250&display=metadata,SAMEA5564709 (ERS3366737)
ERR3587114,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587114&display=metadata,SAMEA2623370 (ERS493788)
ERR3322226,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3322226&display=metadata,SAMEA5564709 (ERS3366737)
SRR125613,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR125613&display=metadata,SAMN00100726 (SRS105352)
SRR1276187,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR1276187&display=metadata,SAMN02767157 (SRS604146)
ERR3587144,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587144&display=metadata,SAMEA2622219 (ERS492012)
SRR5428663,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR5428663&display=metadata,SAMN06266374 (SRS2109288)
ERR3587202,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=ERR3587202&display=metadata,SAMEA2622710 (ERS492733)
SRR8837365,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR8837365&display=metadata,SAMN11289610 (SRS4570712)
SRR6342617,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR6342617&display=metadata,SAMN08118040 (SRS2732275)
SRR985301,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR985301&display=metadata,SAMN02354024 (SRS498504)
SRR2910859,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR2910859&display=metadata,SAMN04225641 (SRS1155329)
