SRR985031,SAMN02354023
SRR988025,SAMN02354036
ERR3010904,SAMEA5185540
ERR3010908,SAMEA5185544
SRR6342617,None
ERR3587174,SAMEA2622837
SRR10882126,None
SRR5428675,None
ERR3477396,SAMEA5768851
ERR3322280,SAMEA5564709
ERR3587191,SAMEA2621487
ERR3587124,SAMEA2622452
ERR3010912,SAMEA5185548
SRR985025,SAMN02354017
ERR1278930,SAMEA3878740
ERR3587115,SAMEA2623390
ERR3322260,SAMEA5564709
SRR7522776,None
ERR3010905,SAMEA5185541
ERR3322283,SAMEA5564709
SRR10882123,None
ERR3322236,SAMEA5564709
SRR6342615,None
ERR3322251,SAMEA5564709
SRR985030,SAMN02354022
ERR3010903,SAMEA5185539
SRR7648276,None
ERR3587143,SAMEA2622097
ERR3587177,SAMEA2623370
ERR3010907,SAMEA5185543
ERR3587195,SAMEA2621401
ERR4181782,SAMEA6864575
ERR3322245,SAMEA5564709
SRR125374,None
ERR3322253,SAMEA5564709
SRR125613,None
SRR7648278,None
ERR3587136,SAMEA2621401
SRR6342639,None
ERR3322269,SAMEA5564709
ERR3587150,SAMEA2620217
ERR3587112,SAMEA2623275
ERR3587125,SAMEA2622690
ERR1278931,SAMEA3878741
SRR10882124,None
SRR985028,SAMN02354020
SRR985022,SAMN02354014
ERR3587161,SAMEA2622733
ERR3010916,SAMEA5185552
ERR3587180,SAMEA2623756
ERR3587166,SAMEA2623390
ERR3322279,SAMEA5564709
ERR3322265,SAMEA5564709
ERR3010902,SAMEA5185538
ERR3587200,SAMEA2622817
ERR3587110,SAMEA2623808
ERR3322226,SAMEA5564709
SRR125371,None
SRR985029,SAMN02354021
SRR5428658,None
ERR3587108,SAMEA2623774
ERR3587118,SAMEA2622197
ERR3587172,SAMEA2622690
SRR125619,None
SRR6342630,None
ERR3587127,SAMEA2622733
ERR3587169,SAMEA2620194
SRR5428644,None
ERR3587157,SAMEA2620542
ERR3587145,SAMEA2619970
SRR980293,SAMN02354008
SRR5428653,None
ERR3587149,SAMEA2620194
ERR3587171,SAMEA2622452
SRR5428655,None
ERR3477393,SAMEA5768848
SRR10882122,None
ERR3010915,SAMEA5185551
ERR3587203,SAMEA2622759
ERR3322244,SAMEA5564709
SRR1011422,SAMN02354043
ERR3477395,SAMEA5768850
ERR3322246,SAMEA5564709
ERR3587144,SAMEA2622219
ERR3322268,SAMEA5564709
ERR3322286,SAMEA5564709
ERR3322219,SAMEA5564709
ERR3587119,SAMEA2622173
SRR125612,None
ERR3322250,SAMEA5564709
ERR3010911,SAMEA5185547
ERR3322220,SAMEA5564709
SRR125607,None
SRR985023,SAMN02354015
SRR6201531,None
SRR5428646,None
ERR3587133,SAMEA2620570
ERR3322271,SAMEA5564709
ERR3322242,SAMEA5564709
ERR3010906,SAMEA5185542
SRR6342618,None
ERR3322274,SAMEA5564709
SRR125369,None
SRR984839,SAMN02354012
ERR3587167,SAMEA2623734
ERR3010913,SAMEA5185549
ERR3322264,SAMEA5564709
SRR2148788,None
ERR4181786,SAMEA6864579
SRR988024,SAMN02354035
ERR3587170,SAMEA2622316
SRR984833,SAMN02354009
SRR984891,SAMN02354013
SRR7648302,None
ERR3322225,SAMEA5564709
ERR3587132,SAMEA2620542
ERR3587138,SAMEA2621487
ERR3322231,SAMEA5564709
ERR3587204,SAMEA2622817
ERR1328122,SAMEA2623850
SRR984835,SAMN02354010
ERR3587187,SAMEA2622173
SRR7648311,None
SRR125608,None
SRR125373,None
ERR3322252,SAMEA5564709
ERR3322273,SAMEA5564709
SRR985301,SAMN02354024
ERR3587163,SAMEA2619970
SRR6342612,None
SRR125372,None
SRR125617,None
SRR125368,None
SRR10882125,None
SRR2148789,None
ERR3010910,SAMEA5185546
SRR7632651,None
ERR3322256,SAMEA5564709
ERR3587158,SAMEA2620570
ERR4181785,SAMEA6864578
ERR3477394,SAMEA5768849
ERR3322272,SAMEA5564709
ERR3587106,SAMEA2623734
ERR3587182,SAMEA2623808
ERR3322284,SAMEA5564709
ERR3587190,SAMEA2622478
SRR7522780,None
ERR3322266,SAMEA5564709
ERR4181783,SAMEA6864576
SRR125616,None
ERR3587128,SAMEA2622796
SRR985026,SAMN02354018
SRR6342644,None
ERR3322243,SAMEA5564709
ERR3587114,SAMEA2623370
SRR125529,None
ERR3587159,SAMEA2622197
ERR3587121,SAMEA2622316
SRR5428671,None
SRR988026,SAMN02354037
ERR3587198,SAMEA2622710
ERR3322232,SAMEA5564709
ERR3010909,SAMEA5185545
ERR1328125,SAMEA2623850
ERR3587186,SAMEA2622219
SRR5428677,None
SRR125614,None
SRR125615,None
ERR3322230,SAMEA5564709
ERR3587129,SAMEA2622837
ERR3587199,SAMEA2622759
ERR3587196,SAMEA2621423
ERR3587137,SAMEA2621423
ERR3587175,SAMEA2623275
ERR3587107,SAMEA2623756
ERR3587120,SAMEA2622336
ERR3322275,SAMEA5564709
ERR3587181,SAMEA2623774
SRR125367,None
ERR3322259,SAMEA5564709
ERR3587188,SAMEA2622336
ERR3587126,SAMEA2622673
SRR6342622,None
ERR3587202,SAMEA2622710
ERR3322276,SAMEA5564709
ERR3587156,SAMEA2620217
SRR984837,SAMN02354011
ERR3010914,SAMEA5185550
SRR6342628,None
SRR985024,SAMN02354016
SRR125550,None
SRR7522782,None
SRR985423,SAMN02354025
SRR5428650,None
ERR3587173,SAMEA2622796
ERR3587151,SAMEA2622690
SRR125370,None
SRR125618,None
ERR3587185,SAMEA2622097
SRR5428678,None
ERR3587160,SAMEA2622673
SRR6342626,None
SRR5428663,None
SRR6342614,None
ERR3587123,SAMEA2622478
SRR985027,SAMN02354019
