SRR2080022,SAMN02214188
SRR11541430,SAMN14595193
SRR10090628,SAMN12719756
SRR125528,SAMN00100717
SRR11541431,SAMN14595192
SRR11541452,SAMN14595141
ERR3047200,SAMEA5206748
SRR10090633,SAMN12719751
ERR1278929,SAMEA3878739
SRR443369,SAMN00858078
SRR575539,SAMN01180958
ERR1078717,SAMEA3597853
ERR3011934,SAMEA5186574
ERR3040229,SAMEA5206514
ERR3048628,SAMEA5206757
SRR10090630,SAMN12719754
SRR11541428,SAMN14595160
SRR352320,SAMN00737842
ERR3054751,SAMEA5206764
SRR11541432,SAMN14595191
SRR11541443,SAMN14595150
SRR443366,SAMN00858075
SRR10090652,SAMN12719716
ERR3046966,SAMEA5206747
ERR3011948,SAMEA5186576
SRR11541441,SAMN14595152
SRR352321,SAMN00737843
ERR3039730,SAMEA5205794
SRR11541439,SAMN14595155
SRR10090623,SAMN12719761
SRR10090615,SAMN12719734
SRR11541440,SAMN14595153
ERR3047519,SAMEA5206753
SRR10090626,SAMN12719758
SRR10090636,SAMN12719783
ERR3013914,SAMEA5189195
ERR3013215,SAMEA5186853
ERR3047572,SAMEA5206750
SRR2080020,SAMN02214186
SRR933602,SAMN02214185
ERR3013915,SAMEA5189196
SRR11541458,SAMN14595183
ERR3053501,SAMEA5206760
ERR3039584,SAMEA5205790
SRR933584,SAMN02214184
ERR3041746,SAMEA5206517
SRR11541435,SAMN14595188
ERR1074145,SAMEA3597862
SRR10090635,SAMN12719784
SRR11541442,SAMN14595151
ERR3039645,SAMEA5205793
ERR1074144,SAMEA3597861
SRR11541449,SAMN14595144
ERR3047592,SAMEA5206751
ERR845228,SAMEA3333522
SRR11541457,SAMN14595184
ERR3011694,SAMEA5184785
ERR3053578,SAMEA5206761
SRR11541454,SAMN14595139
SRR11541424,SAMN14595157
SRR11541459,SAMN14595182
SRR575540,SAMN01180959
ERR3039586,SAMEA5205792
ERR1078719,SAMEA3597855
SRR943118,SAMN02214187
SRR10090627,SAMN12719757
SRR352317,SAMN00737780
SRR10090614,SAMN12719735
SRR11541456,SAMN14595137
SRR11541434,SAMN14595189
ERR3011940,SAMEA5186575
ERR1078718,SAMEA3597854
DRR003885,SAMD00010145
ERR305910,SAMEA2153700
SRR10090634,SAMN12719750
ERR1104479,SAMEA3597856
ERR845237,SAMEA3333531
SRR124473,SAMN00103492
SRR2080028,SAMN02214191
ERR3011953,SAMEA5186617
ERR845230,SAMEA3333524
SRR10090647,SAMN12719721
SRR11541453,SAMN14595140
SRR11541460,SAMN14595181
SRR11541450,SAMN14595143
SRR443367,SAMN00858076
ERR3047672,SAMEA5206752
ERR3048426,SAMEA5206754
ERR845235,SAMEA3333529
ERR843255,SAMEA3322800
ERR1074143,SAMEA3597860
SRR1011421,SAMN02354042
ERR3039973,SAMEA5206226
ERR3039585,SAMEA5205791
SRR943122,SAMN02214191
ERR845236,SAMEA3333530
ERR3013234,SAMEA5186856
SRR11541455,SAMN14595138
SRR11541425,SAMN14595163
SRR10416385,SAMN13229233
ERR3048431,SAMEA5206755
ERR3011962,SAMEA5186642
SRR2080026,SAMN02214190
SRR11541429,SAMN14595159
ERR1078716,SAMEA3597852
ERR1078720,SAMEA3597857
ERR3039942,SAMEA5205923
SRR11541451,SAMN14595142
ERR3046948,SAMEA5206742
SRR11541445,SAMN14595148
SRR11541433,SAMN14595190
SRR11541447,SAMN14595146
SRR11541426,SAMN14595162
SRR2148787,SAMN03979179
ERR3011954,SAMEA5186618
ERR3040230,SAMEA5206518
SRR443370,SAMN00858079
ERR3011957,SAMEA5186641
SRR10090650,SAMN12719718
ERR1078715,SAMEA3597851
DRR003886,SAMD00010147
SRR10090629,SAMN12719755
SRR10090618,SAMN12719766
SRR575541,SAMN01180960
SRR11541444,SAMN14595149
ERR3014422,SAMEA5190397
SRR352318,SAMN00737840
SRR11541437,SAMN14595186
SRR943116,SAMN02214186
ERR3041771,SAMEA5206749
ERR845232,SAMEA3333526
ERR3048626,SAMEA5206756
SRR943119,SAMN02214189
SRR2080021,SAMN02214187
SRR11541462,SAMN14595179
SRR11541446,SAMN14595147
SRR11541436,SAMN14595187
SRR11541464,SAMN14595178
ERR1074146,SAMEA3597859
SRR2080019,SAMN02214185
SRR10090616,SAMN12719733
SRR11541448,SAMN14595145
ERR3477392,SAMEA5768847
SRR11541463,SAMN14595185
ERR3011949,SAMEA5186583
ERR845234,SAMEA3333528
SRR10090654,SAMN12719714
ERR3010901,SAMEA5185537
ERR3053612,SAMEA5206762
SRR2080029,SAMN02214193
ERR3013233,SAMEA5186855
ERR3040964,SAMEA5206516
ERR3054403,SAMEA5206763
ERR3011963,SAMEA5186643
ERR3053500,SAMEA5206759
SRR10090632,SAMN12719752
SRR11541461,SAMN14595180
ERR3053499,SAMEA5206758
SRR352319,SAMN00737841
ERR845239,SAMEA3333533
SRR452448,SAMN00847551
SRR10090621,SAMN12719763
ERR3054984,SAMEA5206765
ERR4181781,SAMEA6864574
ERR845233,SAMEA3333527
SRR943121,SAMN02214190
SRR11541427,SAMN14595161
ERR3011930,SAMEA5186573
ERR1078721,SAMEA3597858
SRR443368,SAMN00858077
SRR11541438,SAMN14595156
