group	evalue
astro-poty	Clstr260	3.4e-05
astro-poty	Clstr301	4.95e-05
astro-poty	Clstr410	0.0004665
astro-poty	Clstr445	0.001
astro-poty	Clstr630	0.001
birna-permutotetra	Clstr064	1.61e-07
birna-permutotetra	Clstr072	5.49e-06
birna-permutotetra	Clstr242	0.00056
birna-permutotetra	Clstr426	0.000253
birna-permutotetra	Clstr614	0.000163
Clstr001	Clstr100	1.18e-07
Clstr001	Clstr121	8.06e-13
Clstr001	Clstr143	1.41e-08
Clstr001	Clstr294	3.565e-08
Clstr001	Clstr353	4.87e-05
Clstr001	Clstr539	0.001
Clstr002	Clstr003	9.08e-26
Clstr002	Clstr020	1.795e-13
Clstr002	Clstr033	0.000205
Clstr002	Clstr140	7.81e-07
Clstr002	Clstr171	5.795e-05
Clstr002	Clstr198	0.000189
Clstr002	Clstr226	6.235e-15
Clstr002	Clstr272	1.86e-09
Clstr002	Clstr380	2.325e-05
Clstr002	Clstr570	0.001
Clstr002	Clstr571	6.58e-07
Clstr003	Clstr002	8.22e-26
Clstr003	Clstr020	3.23e-11
Clstr003	Clstr033	0.000878
Clstr003	Clstr140	7.4e-06
Clstr003	Clstr171	0.000579
Clstr003	Clstr198	0.000773
Clstr003	Clstr226	1e-11
Clstr003	Clstr272	1.96e-08
Clstr003	Clstr380	0.000307
Clstr003	Clstr571	1.74e-05
Clstr005	Clstr670	0.001
Clstr006	Clstr099	6.26e-05
Clstr006	Clstr311	0.001
Clstr007	Clstr032	7.04e-06
Clstr008	Clstr010	0.001
Clstr008	Clstr014	1.27e-05
Clstr008	Clstr019	4.01e-05
Clstr008	Clstr024	7.37e-05
Clstr008	Clstr029	0.0002635
Clstr008	Clstr086	5.73e-07
Clstr008	Clstr108	2.6e-08
Clstr008	Clstr113	1.825e-06
Clstr008	Clstr122	1.16e-06
Clstr008	Clstr265	5e-04
Clstr008	Clstr279	4.43e-10
Clstr008	Clstr281	0.001
Clstr008	Clstr330	2.43e-07
Clstr008	Clstr476	0.000386
Clstr008	Clstr588	0.0006785
Clstr008	Clstr670	6.94e-09
Clstr008	Clstr674	1.205e-06
Clstr009	Clstr038	5.24e-05
Clstr009	Clstr411	0.000567
Clstr009	Clstr428	0.000237
Clstr009	Clstr638	0.001
Clstr010	Clstr014	0.000351
Clstr010	Clstr024	0.0005305
Clstr010	Clstr086	0.000359
Clstr010	Clstr108	0.001
Clstr010	Clstr279	4.17e-05
Clstr010	Clstr476	0.000654
Clstr012	Clstr032	0.001
Clstr013	Clstr351	1.0025e-05
Clstr013	cysto	3.99e-07
Clstr014	Clstr008	1.4e-05
Clstr014	Clstr010	0.000272
Clstr014	Clstr019	4.69e-13
Clstr014	Clstr024	1.3e-10
Clstr014	Clstr029	4.38e-06
Clstr014	Clstr085	3.11e-05
Clstr014	Clstr086	3.685e-13
Clstr014	Clstr108	2.035e-05
Clstr014	Clstr113	5.5e-10
Clstr014	Clstr122	2.21e-13
Clstr014	Clstr265	0.000431
Clstr014	Clstr279	7.5e-06
Clstr014	Clstr476	1.68e-14
Clstr014	Clstr588	0.000726
Clstr014	Clstr670	5.11e-05
Clstr014	Clstr674	7.49e-05
Clstr016	Clstr055	1.315e-08
Clstr018	Clstr025	1.34e-06
Clstr018	Clstr035	9.83e-09
Clstr018	Clstr039	7.38e-06
Clstr018	Clstr054	9.95e-16
Clstr018	Clstr066	6.01e-06
Clstr018	Clstr074	1.86e-14
Clstr018	Clstr079	3.165e-12
Clstr018	Clstr083	2.25e-05
Clstr018	Clstr084	4.37e-05
Clstr018	Clstr090	2.98e-14
Clstr018	Clstr091	2.55e-15
Clstr018	Clstr095	3.37e-18
Clstr018	Clstr127	1.68e-17
Clstr018	Clstr142	1.31e-11
Clstr018	Clstr163	0.001
Clstr018	Clstr182	7.115e-06
Clstr018	Clstr217	1.96e-05
Clstr018	Clstr221	2.69e-06
Clstr018	Clstr230	2.36e-05
Clstr018	Clstr300	9.75e-09
Clstr018	Clstr323	3.44e-11
Clstr018	Clstr367	5.98e-06
Clstr018	Clstr436	0.000155
Clstr018	Clstr449	6.29e-05
Clstr018	Clstr503	0.001
Clstr018	Clstr617	3.2e-17
Clstr019	Clstr008	4.175e-05
Clstr019	Clstr014	4.53e-13
Clstr019	Clstr024	2.635e-10
Clstr019	Clstr029	6.745e-06
Clstr019	Clstr085	2.255e-05
Clstr019	Clstr086	3.43e-13
Clstr019	Clstr108	5.965e-05
Clstr019	Clstr113	6.19e-09
Clstr019	Clstr122	9.955e-15
Clstr019	Clstr222	0.000629
Clstr019	Clstr265	0.000436
Clstr019	Clstr279	6.52e-05
Clstr019	Clstr476	4.84e-09
Clstr019	Clstr588	0.0004305
Clstr019	Clstr670	0.000259
Clstr019	Clstr674	0.000846
Clstr020	Clstr002	2.02e-13
Clstr020	Clstr003	3.27e-11
Clstr020	Clstr033	9.1e-07
Clstr020	Clstr096	0.001
Clstr020	Clstr140	8.175e-07
Clstr020	Clstr171	2.765e-05
Clstr020	Clstr198	3.16e-05
Clstr020	Clstr226	6.2e-07
Clstr020	Clstr245	0.00018
Clstr020	Clstr272	4.66e-12
Clstr020	Clstr409	0.001
Clstr020	Clstr570	0.001
Clstr020	Clstr571	5.51e-06
Clstr021	Clstr136	3.71e-05
Clstr021	Clstr316	2.94e-05
Clstr021	Clstr417	2.57e-08
Clstr021	Clstr423	0.000544
Clstr021	Clstr609	0.000186
Clstr022	Clstr092	3.11e-20
Clstr024	Clstr008	0.000104
Clstr024	Clstr010	0.000573
Clstr024	Clstr014	1.76e-10
Clstr024	Clstr019	3.77e-10
Clstr024	Clstr029	9e-07
Clstr024	Clstr085	1.04e-05
Clstr024	Clstr086	1.6e-10
Clstr024	Clstr108	4.53e-05
Clstr024	Clstr113	4.425e-08
Clstr024	Clstr122	7.64e-11
Clstr024	Clstr265	5.78e-05
Clstr024	Clstr279	6.15e-05
Clstr024	Clstr281	0.000331
Clstr024	Clstr453	0.001
Clstr024	Clstr476	2.07e-07
Clstr024	Clstr588	0.000127
Clstr024	Clstr670	0.000108
Clstr024	Clstr674	0.000723
Clstr025	Clstr018	1.69e-06
Clstr025	Clstr035	2.11e-10
Clstr025	Clstr039	3.62e-08
Clstr025	Clstr054	5.27e-06
Clstr025	Clstr066	1.055e-10
Clstr025	Clstr074	1.46e-08
Clstr025	Clstr079	7.045e-13
Clstr025	Clstr083	8.555e-15
Clstr025	Clstr084	1.11e-19
Clstr025	Clstr090	1.89e-08
Clstr025	Clstr091	1.72e-11
Clstr025	Clstr095	8.98e-07
Clstr025	Clstr127	2.365e-07
Clstr025	Clstr142	2.12e-12
Clstr025	Clstr182	6.63e-10
Clstr025	Clstr217	2.41e-13
Clstr025	Clstr221	2.23e-05
Clstr025	Clstr230	1.775e-23
Clstr025	Clstr300	3.97e-08
Clstr025	Clstr323	1.01e-09
Clstr025	Clstr363	0.0003155
Clstr025	Clstr367	1.745e-11
Clstr025	Clstr436	6.63e-08
Clstr025	Clstr449	1.27e-06
Clstr025	Clstr503	1.27e-05
Clstr025	Clstr617	2.65e-12
Clstr026	Clstr323	0.000733
Clstr026	Clstr482	8.21e-07
Clstr028	qinvirus	1.56e-05
Clstr028	yuevirus	3.67e-05
Clstr029	Clstr008	0.000337
Clstr029	Clstr014	4.88e-06
Clstr029	Clstr019	8.87e-06
Clstr029	Clstr024	8.58e-07
Clstr029	Clstr085	4.88e-14
Clstr029	Clstr086	3.78e-06
Clstr029	Clstr108	0.000157
Clstr029	Clstr113	6.25e-06
Clstr029	Clstr122	1.98e-06
Clstr029	Clstr265	6.225e-13
Clstr029	Clstr279	0.000263
Clstr029	Clstr281	1.49e-12
Clstr029	Clstr476	0.000136
Clstr029	Clstr588	1.36e-08
Clstr029	Clstr670	0.00021
Clstr029	Clstr674	0.00035
Clstr031	Clstr088	0.000424
Clstr031	Clstr106	0.000141
Clstr031	Clstr124	1.84e-10
Clstr031	Clstr172	2.09e-08
Clstr031	Clstr200	3.525e-14
Clstr031	Clstr204	2.375e-08
Clstr031	Clstr205	0.00035
Clstr031	Clstr208	0.0005955
Clstr031	Clstr216	5.09e-13
Clstr031	Clstr239	2.04e-06
Clstr031	Clstr288	1.78e-05
Clstr031	Clstr357	3.105e-13
Clstr031	Clstr366	9.47e-11
Clstr031	Clstr369	6.365e-05
Clstr031	Clstr396	1.52e-13
Clstr031	Clstr397	0.0001295
Clstr031	Clstr441	2.78e-05
Clstr031	Clstr448	5.935e-16
Clstr031	Clstr455	0.000237
Clstr031	Clstr456	3.43e-08
Clstr031	Clstr470	0.000724
Clstr031	Clstr485	3.055e-05
Clstr031	Clstr519	3.45e-13
Clstr031	Clstr530	1.79e-07
Clstr031	Clstr551	0.0003425
Clstr031	Clstr566	4.53e-07
Clstr031	Clstr581	5.67e-06
Clstr031	Clstr607	1.43e-06
Clstr031	Clstr612	0.000218
Clstr031	Clstr629	2.53e-06
Clstr031	Clstr645	3.34e-09
Clstr031	Clstr661	1.18e-07
Clstr031	Clstr665	1.61e-07
Clstr031	Clstr673	1.395e-05
Clstr031	Clstr695	1.51e-05
Clstr031	Clstr696	1.25e-05
Clstr032	Clstr007	8.31e-06
Clstr032	Clstr012	0.001
Clstr032	Clstr069	2.78e-08
Clstr032	Clstr101	3.73e-07
Clstr032	Clstr413	0.000457
Clstr032	Clstr462	0.0003135
Clstr032	Clstr483	2.8e-08
Clstr032	partiti-picobirna	1.01e-06
Clstr033	Clstr002	0.000198
Clstr033	Clstr003	0.0007955
Clstr033	Clstr020	8.075e-07
Clstr033	Clstr040	0.001
Clstr033	Clstr096	1.02e-05
Clstr033	Clstr140	1.07e-08
Clstr033	Clstr171	1.72e-06
Clstr033	Clstr198	5.91e-07
Clstr033	Clstr226	0.0003535
Clstr033	Clstr245	3.77e-13
Clstr033	Clstr272	1.745e-06
Clstr033	Clstr380	0.00011
Clstr033	Clstr570	9.64e-05
Clstr033	Clstr571	6.07e-07
Clstr033	Clstr600	0.001
Clstr034	Clstr371	9.17e-07
Clstr035	Clstr018	1.22e-08
Clstr035	Clstr025	1.74e-10
Clstr035	Clstr039	2.825e-08
Clstr035	Clstr054	9.47e-08
Clstr035	Clstr066	1.25e-07
Clstr035	Clstr074	2.16e-08
Clstr035	Clstr079	2.54e-09
Clstr035	Clstr083	5.39e-10
Clstr035	Clstr084	1.72e-10
Clstr035	Clstr090	8.05e-08
Clstr035	Clstr091	1.87e-08
Clstr035	Clstr095	7.07e-09
Clstr035	Clstr127	9.14e-09
Clstr035	Clstr142	8.625e-09
Clstr035	Clstr182	1.505e-08
Clstr035	Clstr217	2.04e-07
Clstr035	Clstr221	6.84e-06
Clstr035	Clstr230	1.11e-10
Clstr035	Clstr300	1.83e-06
Clstr035	Clstr323	5.735e-07
Clstr035	Clstr367	3.22e-09
Clstr035	Clstr436	4.635e-07
Clstr035	Clstr449	4.985e-06
Clstr035	Clstr503	4.265e-05
Clstr035	Clstr617	1.39e-10
Clstr036	Clstr042	2.295e-06
Clstr036	Clstr119	1.455e-06
Clstr037	Clstr166	0.001
Clstr038	Clstr009	4.34e-05
Clstr038	Clstr144	3e-04
Clstr038	Clstr428	5.74e-09
Clstr038	Clstr555	4.56e-07
Clstr038	Clstr632	4.82e-05
Clstr038	Clstr638	4.94e-05
Clstr039	Clstr018	1.05e-05
Clstr039	Clstr025	3.945e-08
Clstr039	Clstr035	3.745e-08
Clstr039	Clstr054	3.775e-05
Clstr039	Clstr066	7.52e-10
Clstr039	Clstr074	2.605e-07
Clstr039	Clstr079	9.99e-08
Clstr039	Clstr083	2.43e-07
Clstr039	Clstr084	1.13e-07
Clstr039	Clstr090	2.845e-07
Clstr039	Clstr091	6.26e-07
Clstr039	Clstr095	6.15e-06
Clstr039	Clstr127	8.98e-07
Clstr039	Clstr142	1.87e-07
Clstr039	Clstr182	1.31e-31
Clstr039	Clstr221	4.98e-05
Clstr039	Clstr230	3.03e-06
Clstr039	Clstr300	5.42e-07
Clstr039	Clstr323	2.01e-06
Clstr039	Clstr367	3.255e-31
Clstr039	Clstr436	9.015e-08
Clstr039	Clstr449	4.92e-05
Clstr039	Clstr503	3.38e-05
Clstr039	Clstr617	3.92e-09
Clstr040	Clstr033	0.001
