group1	group2	evalue
astro-poty	Clstr260	3.40E-05
astro-poty	Clstr301	4.95E-05
astro-poty	Clstr410	0.0004665
astro-poty	Clstr445	0.001
astro-poty	Clstr630	0.001
birna-permutotetra	Clstr064	1.61E-07
birna-permutotetra	Clstr072	5.49E-06
birna-permutotetra	Clstr242	0.00056
birna-permutotetra	Clstr426	0.000253
birna-permutotetra	Clstr614	0.000163
Clstr001	Clstr100	1.18E-07
Clstr001	Clstr121	8.06E-13
Clstr001	Clstr143	1.41E-08
Clstr001	Clstr294	3.57E-08
Clstr001	Clstr353	4.87E-05
Clstr001	Clstr539	0.001
Clstr002	Clstr003	9.08E-26
Clstr002	Clstr020	1.80E-13
Clstr002	Clstr033	0.000205
Clstr002	Clstr140	7.81E-07
Clstr002	Clstr171	5.80E-05
Clstr002	Clstr198	0.000189
Clstr002	Clstr226	6.24E-15
Clstr002	Clstr272	1.86E-09
Clstr002	Clstr380	2.33E-05
Clstr002	Clstr570	0.001
Clstr002	Clstr571	6.58E-07
Clstr003	Clstr002	8.22E-26
Clstr003	Clstr020	3.23E-11
Clstr003	Clstr033	0.000878
Clstr003	Clstr140	7.40E-06
Clstr003	Clstr171	0.000579
Clstr003	Clstr198	0.000773
Clstr003	Clstr226	1.00E-11
Clstr003	Clstr272	1.96E-08
Clstr003	Clstr380	0.000307
Clstr003	Clstr571	1.74E-05
Clstr005	Clstr670	0.001
Clstr006	Clstr099	6.26E-05
Clstr006	Clstr311	0.001
Clstr007	Clstr032	7.04E-06
Clstr008	Clstr010	0.001
Clstr008	Clstr014	1.27E-05
Clstr008	Clstr019	4.01E-05
Clstr008	Clstr024	7.37E-05
Clstr008	Clstr029	0.0002635
Clstr008	Clstr086	5.73E-07
Clstr008	Clstr108	2.60E-08
Clstr008	Clstr113	1.83E-06
Clstr008	Clstr122	1.16E-06
Clstr008	Clstr265	5.00E-04
Clstr008	Clstr279	4.43E-10
Clstr008	Clstr281	0.001
Clstr008	Clstr330	2.43E-07
Clstr008	Clstr476	0.000386
Clstr008	Clstr588	0.0006785
Clstr008	Clstr670	6.94E-09
Clstr008	Clstr674	1.21E-06
Clstr009	Clstr038	5.24E-05
Clstr009	Clstr411	0.000567
Clstr009	Clstr428	0.000237
Clstr009	Clstr638	0.001
Clstr010	Clstr014	0.000351
Clstr010	Clstr024	0.0005305
Clstr010	Clstr086	0.000359
Clstr010	Clstr108	0.001
Clstr010	Clstr279	4.17E-05
Clstr010	Clstr476	0.000654
Clstr012	Clstr032	0.001
Clstr013	Clstr351	1.00E-05
Clstr013	cysto	3.99E-07
Clstr014	Clstr008	1.40E-05
Clstr014	Clstr010	0.000272
Clstr014	Clstr019	4.69E-13
Clstr014	Clstr024	1.30E-10
Clstr014	Clstr029	4.38E-06
Clstr014	Clstr085	3.11E-05
Clstr014	Clstr086	3.69E-13
Clstr014	Clstr108	2.04E-05
Clstr014	Clstr113	5.50E-10
Clstr014	Clstr122	2.21E-13
Clstr014	Clstr265	0.000431
Clstr014	Clstr279	7.50E-06
Clstr014	Clstr476	1.68E-14
Clstr014	Clstr588	0.000726
Clstr014	Clstr670	5.11E-05
Clstr014	Clstr674	7.49E-05
Clstr016	Clstr055	1.32E-08
Clstr018	Clstr025	1.34E-06
Clstr018	Clstr035	9.83E-09
Clstr018	Clstr039	7.38E-06
Clstr018	Clstr054	9.95E-16
Clstr018	Clstr066	6.01E-06
Clstr018	Clstr074	1.86E-14
Clstr018	Clstr079	3.17E-12
Clstr018	Clstr083	2.25E-05
Clstr018	Clstr084	4.37E-05
Clstr018	Clstr090	2.98E-14
Clstr018	Clstr091	2.55E-15
Clstr018	Clstr095	3.37E-18
Clstr018	Clstr127	1.68E-17
Clstr018	Clstr142	1.31E-11
Clstr018	Clstr163	0.001
Clstr018	Clstr182	7.12E-06
Clstr018	Clstr217	1.96E-05
Clstr018	Clstr221	2.69E-06
Clstr018	Clstr230	2.36E-05
Clstr018	Clstr300	9.75E-09
Clstr018	Clstr323	3.44E-11
Clstr018	Clstr367	5.98E-06
Clstr018	Clstr436	0.000155
Clstr018	Clstr449	6.29E-05
Clstr018	Clstr503	0.001
Clstr018	Clstr617	3.20E-17
Clstr019	Clstr008	4.18E-05
Clstr019	Clstr014	4.53E-13
Clstr019	Clstr024	2.64E-10
Clstr019	Clstr029	6.75E-06
Clstr019	Clstr085	2.26E-05
Clstr019	Clstr086	3.43E-13
Clstr019	Clstr108	5.97E-05
Clstr019	Clstr113	6.19E-09
Clstr019	Clstr122	9.96E-15
Clstr019	Clstr222	0.000629
Clstr019	Clstr265	0.000436
Clstr019	Clstr279	6.52E-05
Clstr019	Clstr476	4.84E-09
Clstr019	Clstr588	0.0004305
Clstr019	Clstr670	0.000259
Clstr019	Clstr674	0.000846
Clstr020	Clstr002	2.02E-13
Clstr020	Clstr003	3.27E-11
